kbli_kode,provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
56,Jawa Barat,245248.909799,14863.570291273605,5294,96,0.04792035181268022
1,Lampung,243583.04213,14762.608613737999,436,18,0.04759484999969652
1,Jawa Barat,242367.362662,14688.931070785,1990,50,0.04735731260209604
33,Jawa Barat,238929.39402500002,14480.569334694606,345,36,0.04668555154619155
3,Jawa Barat,238502.964072,14454.72509488,150,16,0.046602229367968734
1,Jawa Timur,235691.525344,14284.334869603,1234,51,0.046052888973118565
46,Nusa Tenggara Barat,234921.238065,14237.650790949001,976,24,0.04590237887528872
79,Daerah Khusus Ibukota Jakarta,234639.578794,14220.580532338,489,51,0.04584734412969623
49,Kalimantan Selatan,234081.798551,14186.775672714,97,12,0.04573835679311387
9,Sulawesi Selatan,233721.378059,14164.93200158,143,5,0.04566793251766532
61,Kalimantan Barat,231029.143532,14001.766272855,36,6,0.04514188399903247
35,Jawa Tengah,227640.405688,13796.388223818,340,28,0.04447974238209923
18,Jawa Tengah,226386.64320599998,13720.402619303,420,18,0.0442347637631271
47,Riau,226077.06069299998,13701.640041469,85,13,0.044174272962372176
35,Bali,225585.17663,13671.828892198,15,10,0.04407816139405032
31,Jawa Tengah,225283.47913199998,13653.544193076,2706,55,0.04401921128390705
86,Aceh,220747.93710799998,13378.662855757999,342,7,0.043132990139725796
6,Sulawesi Barat,217811.6756,13200.70761,0,1,0.042559260027764396
63,Jawa Timur,217067.045687,13155.578532464999,270,9,0.04241376324480031
68,Kepulauan Bangka Belitung,216650.162226,13130.312858495001,3,7,0.04233230640108842
47,Bali,215248.178522,13045.344153392,3513,79,0.0420583661320516
61,Kalimantan Tengah,214749.572303,13015.125592181817,0,7,0.04196094108967301
68,Kalimantan Barat,211216.149286,12800.978745752,50,18,0.04127052874811995
52,Jawa Tengah,206512.560517,12515.912758642,645,56,0.04035147215057022
41,Jawa Barat,205652.711592,12463.800702289,896,26,0.040183462176436084
25,Kepulauan Riau,205227.265038,12438.016063668998,745,14,0.04010033214922462
61,Bali,205211.777145,12437.077403081,6,14,0.04009730589609262
41,Jawa Timur,204330.273402,12383.652930672,604,28,0.03992506468399763
1,Kalimantan Selatan,203755.99706,12348.848306708,1232,17,0.03981285409611411
74,Daerah Khusus Ibukota Jakarta,203111.623553,12309.795368039,506,47,0.03968694688951524
33,Kepulauan Riau,202051.664627,12245.55543133,3678,12,0.03947983646980923
61,Sumatera Barat,201278.070844,12198.670960275998,0,15,0.039328680298424644
56,Banten,201226.105061,12195.521518827,2257,40,0.03931852645673939
1,Kepulauan Bangka Belitung,197503.512488,11969.909847141,175,15,0.03859115137523696
13,Jawa Timur,196791.363228,11926.749285972,260,23,0.03845200114166279
10,Daerah Khusus Ibukota Jakarta,195783.166455,11865.646452205001,597,24,0.038255004775407116
7,Gorontalo,195512.064942,11849.216058011001,36,4,0.038202032960402685
25,Jawa Tengah,194901.844146,11812.232978554,452,29,0.03808279901456496
50,Sumatera Utara,194770.8651,11804.294854225,446,4,0.03805720639533761
47,Sulawesi Barat,194645.25285400002,11796.681990770001,101,6,0.03803266242070697
80,Daerah Khusus Ibukota Jakarta,191006.92108600002,11576.177035519,1614,12,0.037321751458955076
32,Jawa Timur,189910.16063,11509.706703882,3885,31,0.03710745021313575
3,Daerah Khusus Ibukota Jakarta,188765.32162499998,11440.322520786,4434,7,0.036883754670784745
